exportedFile,originalSource,primaryResourceFamily,resourceFamilies,note
icons/aira_logo_brand__user-provided.svg,Aira logo.svg,aira_logo_brand,aira_logo_brand,user-provided canonical brand source
icons/start_window_brand_lockup__user-provided.png,user-provided/开屏2 (1).png,start_window_brand_lockup,start_window_brand_lockup,user-provided canonical start-window artwork; identical bytes for light and dark
vendor/lucide/aira-operational-icons/svg/app-window.svg,Lucide 1.38.0 / app-window,app_settings_web_apps,app_settings_web_apps;app_settings_app_service_mode,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/arrow-counter-clockwise.svg,Lucide 1.38.0 / undo-2,app_reader_refresh,app_reader_refresh,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/arrow-left.svg,Lucide 1.38.0 / arrow-left,app_toolbar_back,app_toolbar_back,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/arrow-square-out.svg,Lucide 1.38.0 / external-link,app_site_setting_external_actions,app_site_setting_external_actions;app_site_setting_open_app;app_offline_open_original,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/arrow-up-left.svg,Lucide 1.38.0 / arrow-up-left,app_search_suggestion_fill_arrow,app_search_suggestion_fill_arrow,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/arrows-clockwise.svg,Lucide 1.38.0 / refresh-cw,app_toolbar_refresh,app_toolbar_refresh;app_membership_benefit_refresh;app_video_assistant_rotate,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/arrows-out-line-horizontal.svg,Lucide 1.38.0 / move-horizontal,app_reader_page_width,app_reader_page_width,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/article.svg,Lucide 1.38.0 / newspaper,app_toolbar_saved_pages,app_toolbar_saved_pages,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/book-open-text.svg,Lucide 1.38.0 / book-open-text,app_toolbar_reader,app_toolbar_reader,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/bookmark-simple.svg,Lucide 1.38.0 / bookmark,app_reader_add_bookmark,app_reader_add_bookmark;app_toolbar_add_bookmark,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/bookmarks.svg,Lucide 1.38.0 / book-marked,app_shortcut_bookmarks,app_shortcut_bookmarks;app_reader_bookmarks,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/browser.svg,Lucide 1.38.0 / panel-top,app_toolbar_user_agent,app_toolbar_user_agent,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/camera.svg,Lucide 1.38.0 / camera,app_site_permission_camera,app_site_permission_camera,Lucide Operational font source
vendor/lucide/aira-operational-icons/svg/circles-three.svg,Lucide 1.38.0 / palette,app_settings_appearance,app_settings_appearance;app_toolbar_theme_mode;app_membership_benefit_appearance,one font glyph serves multiple app resource families
vendor/lucide/aira-operational-icons/svg/clipboard.svg,Lucide 1.38.0 / clipboard,app_site_permission_clipboard,app_site_permission_clipboard,Lucide Operational font source
